alt_scr.py[LINE:14]# INFO     [2017-12-04 22:32:20,009]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:32:20,009]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:32:25 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:32:25,004]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:32:30 EET)" (scheduled at 2017-12-04 22:32:25+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:32:25,005]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:32:25,005]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:32:30 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:32:30,007]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:32:35 EET)" (scheduled at 2017-12-04 22:32:30+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:32:30,007]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:32:30,007]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:32:35 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:32:35,011]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:32:40 EET)" (scheduled at 2017-12-04 22:32:35+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:32:35,012]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:32:35,012]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:32:40 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:32:40,013]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:32:45 EET)" (scheduled at 2017-12-04 22:32:40+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:32:40,014]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:32:40,014]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:32:45 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:32:45,001]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:32:50 EET)" (scheduled at 2017-12-04 22:32:45+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:32:45,002]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:32:45,002]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:32:50 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:32:50,007]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:32:55 EET)" (scheduled at 2017-12-04 22:32:50+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:32:50,008]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:32:50,008]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:32:55 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:32:55,011]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:33:00 EET)" (scheduled at 2017-12-04 22:32:55+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:32:55,012]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:32:55,012]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:33:00 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:33:00,014]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:33:05 EET)" (scheduled at 2017-12-04 22:33:00+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:33:00,014]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:33:00,014]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:33:05 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:33:05,002]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:33:10 EET)" (scheduled at 2017-12-04 22:33:05+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:33:05,003]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:33:05,003]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:33:10 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:33:10,006]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:33:15 EET)" (scheduled at 2017-12-04 22:33:10+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:33:10,007]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:33:10,007]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:33:15 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:33:15,010]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:33:20 EET)" (scheduled at 2017-12-04 22:33:15+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:33:15,011]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:33:15,011]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:33:20 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:33:20,014]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:33:25 EET)" (scheduled at 2017-12-04 22:33:20+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:33:20,015]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:33:20,015]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:33:25 EET)" executed successfully
